30,2557,Prachinburi,"111,968",38,0.03,East
31,2557,Pattani,"120,329","1,944",1.62,South
32,2557,Phra Nakhon Si Ayutthaya,"163,675",488,0.3,Center
33,2557,Phayao,"116,713","2,127",1.82,North
34,2557,Phangnga,"50,226",23,0.05,South
35,2557,Phatthalung,"130,441",47,0.04,South
36,2557,Phichit,"118,506","1,403",1.18,Center
37,2557,Phitsanulok,"177,640","1,557",0.88,Center
38,2557,Phetchaburi,"98,614",485,0.49,West
39,2557,Phetchabun,"237,852",346,0.15,Center
40,2557,Phrae,"118,083",365,0.31,North
41,2557,Phuket,"83,248",0,0,South
42,2557,Maha Sarakham,"218,597","1,724",0.79,East north
43,2557,Mukdahan,"86,206",274,0.32,East north
44,2557,Mae Hong Son,"54,413","1,759",3.23,North
45,2557,Yasothon,"127,693",475,0.37,East north
46,2557,Yala,"100,927",292,0.29,South
47,2557,Roi Et,"289,648",772,0.27,East north
48,2557,Ranong,"43,498",212,0.49,South
49,2557,Rayong,"143,971",27,0.02,East
50,2557,Ratchaburi,"155,591",295,0.19,West
51,2557,Lopburi,"182,016",181,0.1,Center
52,2557,Lampang,"202,981","4,014",1.98,North
53,2557,Lamphun,"112,572",543,0.48,North
54,2557,Loei,"155,233",641,0.41,East north
55,2557,Sisaket,"266,608","1,072",0.4,East north
56,2557,Sakon Nakhon,"247,699",261,0.11,East north
57,2557,Songkhla,"226,768",413,0.18,South
58,2557,Satun,"68,622",0,0,South
59,2557,Samut Prakan,"298,645",648,0.22,Center
60,2557,Samut Songkhram,"44,816",0,0,Center
61,2557,Samut Sakhon,"98,097",69,0.07,Center
62,2557,Sa Kaeo,"115,906",205,0.18,East
63,2557,Saraburi,"128,250",526,0.41,Center
64,2557,Sing Buri,"51,304",47,0.09,Center
65,2557,Sukhothai,"133,605",719,0.54,Center
66,2557,Suphan Buri,"213,976",50,0.02,Center
67,2557,Surat Thani,"180,812","1,012",0.56,South
68,2557,Surin,"262,127","1,063",0.41,East north
69,2557,Nong Khai,"99,735",266,0.27,East north
70,2557,Nong Bua Lamphu,"101,462",334,0.33,East north
71,2557,Ang Thong,"69,702",418,0.6,Center
72,2557,Amnat Charoen,"84,243",411,0.49,East north
73,2557,Udon Thani,"315,000","2,352",0.75,Center
74,2557,Uttaradit,"117,901",327,0.28,North
75,2557,Uthai Thani,"83,417","1,073",1.29,East north
76,2557,Ubon Ratchathani,"353,923",199,0.06,East north
1,2556,Krabi,"67,576",50,0.07,South
2,2556,Kanchanaburi,"108,796",0,0,West
3,2556,Kalasin,"154,804","1,445",0.93,East north
4,2556,Kamphaeng Phet,"113,827",83,0.07,Center
5,2556,Khon Kaen,"245,632","3,127",1.27,East north
6,2556,Chanthaburi,"71,534",286,0.4,East
7,2556,Chachoengsao,"89,440",49,0.05,East
8,2556,Chon Buri,"81,641",4,0,East
9,2556,Chai Nat,"65,110",47,0.07,Center
10,2556,Chaiyaphum,"179,864",614,0.34,East north
11,2556,Chumphon,"82,671",8,0.01,South
12,2556,Chiang Rai,"192,778",673,0.35,North
13,2556,Chiang Mai,"255,366",972,0.38,North
14,2556,Trang,"100,815",6,0.01,South
15,2556,Trat,"29,683",0,0,East
16,2556,Tak,"73,435","1,026",1.4,West
17,2556,Nakhon Nayok,"44,957",46,0.1,Center
18,2556,Nakhon Pathom,"117,915",1,0,Center
19,2556,Nakhon Phanom,"117,058","1,326",1.13,East north
20,2556,Nakhon Ratchasima,"398,635","2,135",0.54,East north
21,2556,Nakhon Si Thammarat,"235,534","1,528",0.65,South
22,2556,Nakhon Sawan,"172,267",150,0.09,Center
23,2556,Nonthaburi,"62,145",0,0,Center
24,2556,Narathiwat,"90,159",282,0.31,South
25,2556,Nan,"92,780",751,0.81,North
26,2556,Bueng Kan,"57,703",430,0.75,East north
27,2556,Buri Ram,"233,612","2,756",1.18,East north
28,2556,Pathum Thani,"77,390",0,0,Center
29,2556,Prachuap Khiri Khan,"62,864",53,0.08,West
30,2556,Prachinburi,"78,229",8,0.01,East
31,2556,Pattani,"85,141","1,614",1.9,South
32,2556,Phra Nakhon Si Ayutthaya,"107,299",17,0.02,Center
33,2556,Phayao,"87,357","2,398",2.75,North
34,2556,Phangnga,"43,447",36,0.08,South
